country,year,value
AFE,2022,1185137703650.99
AFE,2021,1086530704900.5
AFE,2020,928880235176.594
AFE,2019,1006191000190.48
AFE,2018,1012521425296.35
AFE,2017,1028394291260.59
AFE,2016,890051427265.996
AFE,2015,932513471557.123
AFE,2014,1006992481353.94
AFE,2013,986342932619.106
AFE,2012,979996860991.405
AFE,2011,971667511047.106
AFE,2010,867040920627.224
AFE,2009,723512528253.909
AFE,2008,711800460143.432
AFE,2007,664099392606.403
AFE,2006,578633287253.354
AFE,2005,514927086452.789
AFE,2004,441359590323.394
AFE,2003,354907412306.554
AFE,2002,267142068310.105
AFE,2001,260218617002.669
AFE,2000,285403765401.254
AFE,1999,263674195227.713
AFE,1998,267286689939.3
AFE,1997,284065411886.655
AFE,1996,268992901985.369
AFE,1995,270813961389.262
AFE,1994,241158029890.41
AFE,1993,238353057845.691
AFE,1992,240210577721.912
AFE,1991,275622021261.09
AFE,1990,254673510115.591
AFE,1989,218577418670.295
AFE,1988,205635932770.809
AFE,1987,186594742538.673
AFE,1986,153368683414.31
AFE,1985,135795509169.566
AFE,1984,162752141155.351
AFE,1983,175108664048.273
AFE,1982,164114068718.601
AFE,1981,173673510912.351
AFE,1980,166475050971.984
AFE,1979,125656371097.882
AFE,1978,105623414443.521
AFE,1977,94566922081.6133
AFE,1976,85050300129.2175
AFE,1975,84955085378.787
AFE,1974,79888146173.0089
AFE,1973,64933825429.4261
AFE,1972,49440744172.338
AFE,1971,45920167032.339
AFE,1970,41938907715.5921
AFE,1969,38498685902.3198
AFE,1968,34216506003.7724
AFE,1967,31592963095.075
AFE,1966,28732792825.1557
AFE,1965,26619560806.5041
AFE,1964,24294329779.9037
AFE,1963,22242734491.0409
AFE,1962,20506467177.8699
AFE,1961,19366314294.0882
AFE,1960,18478095142.1781
AFW,2022,875393693658.084
AFW,2021,844927536437.833
AFW,2020,786962436538.391
AFW,2019,823405580187.913
AFW,2018,768158194632.397
AFW,2017,685630289666.515
AFW,2016,692114931613.254
AFW,2015,769263195356.949
AFW,2014,894505003403.491
AFW,2013,834097010134.991
AFW,2012,737739503299.735
AFW,2011,682176065823.115
AFW,2010,598607469639.526
AFW,2009,508492534468.294
AFW,2008,567853448132.047
AFW,2007,465627259599.126
AFW,2006,396077046021.055
AFW,2005,310070743908.926
AFW,2004,253453654650.339
AFW,2003,204455023741.489
AFW,2002,176588559103.843
AFW,2001,147524718751.249
AFW,2000,140132777859.081
AFW,1999,137292485423.693
AFW,1998,294949797405.741
AFW,1997,274376968923.496
AFW,1996,261262106172.312
AFW,1995,205687093879.591
AFW,1994,133143476720.137
AFW,1993,127980941949.696
AFW,1992,122575953686.486
AFW,1991,127939039832.689
AFW,1990,121803568895.987
AFW,1989,101770140749.657
AFW,1988,108944735237.174
AFW,1987,110281682790.499
AFW,1986,107507001440.375
AFW,1985,116508527443.662
AFW,1984,114263904328.182
AFW,1983,138116898441.305
AFW,1982,187165406370.026
AFW,1981,211005911802.917
AFW,1980,112032331232.328
AFW,1979,88629333635.7157
AFW,1978,71200526845.3747
AFW,1977,65316034540.7121
AFW,1976,62129985410.0664
AFW,1975,51445309626.4799
AFW,1974,44215328355.8688
AFW,1973,31841146881.8575
AFW,1972,25269456358.5288
AFW,1971,20843326170.6302
AFW,1970,23504960311.9234
AFW,1969,16882284662.3657
AFW,1968,14880501861.1181
AFW,1967,14428492961.8549
AFW,1966,15845575303.2224
AFW,1965,14874755833.5382
AFW,1964,13848998668.6184
AFW,1963,12685805889.8937
AFW,1962,11951712282.0428
AFW,1961,11135924727.9409
AFW,1960,10411646287.3058
ARB,2022,3543339785306.04
ARB,2021,2930480380718.33
ARB,2020,2535508549307.3
ARB,2019,2871654771803.32
ARB,2018,2845898419150.44
ARB,2017,2639754813075.27
ARB,2016,2539393624579.97
ARB,2015,2555806089294.93
ARB,2014,2907245176944.27
ARB,2013,2860928547664.76
ARB,2012,2802930798518.45
ARB,2011,2567292128049.55
ARB,2010,2346088525053.08
ARB,2009,1987928421954.15
ARB,2008,2264025451574.68
ARB,2007,1798723747331.16
ARB,2006,1546220845671.46
ARB,2005,1304960956754.7
ARB,2004,1063199673336.65
ARB,2003,894211049434.972
ARB,2002,808316115359.456
ARB,2001,803225963243.441
ARB,2000,820573600760.516
ARB,1999,717783506460.08
ARB,1998,649474839551
ARB,1997,662599381239.788
ARB,1996,615168379200.27
ARB,1995,564846181458.454
ARB,1994,531889376829.679
ARB,1993,499344733364.61
ARB,1992,485480997990.055
ARB,1991,480685955944.023
ARB,1990,651231622555.595
ARB,1989,460896461734.439
ARB,1988,429625737199.947
ARB,1987,445512045932.976
ARB,1986,411512791338.673
ARB,1985,424154835582.947
ARB,1984,430640108344.537
ARB,1983,423119939334.202
ARB,1982,449527418217.136
ARB,1981,480094377493.219
ARB,1980,464922706719.985
