country,year,value
AFE,2021,2696406736371.85
AFE,2020,2478218029367.22
AFE,2019,2517975293215.71
AFE,2018,2418684593444.31
AFE,2017,2299420108579.93
AFE,2016,2212682940327.27
AFE,2015,2098349127423.91
AFE,2014,2025475830797.93
AFE,2013,1893539310651.89
AFE,2012,1772679556278.14
AFE,2011,1770508552601.63
AFE,2010,1668440419260.75
AFE,2009,1568093236698.23
AFE,2008,1544602291964.66
AFE,2007,1449015999183
AFE,2006,1321799630798.98
AFE,2005,1202162071701.84
AFE,2004,1097275385752.13
AFE,2003,1011535265434.28
AFE,2002,960556000398.097
AFE,2001,910141999383.129
AFE,2000,858473000125.877
AFE,1999,811240880381.2
AFE,1998,777983723929.695
AFE,1997,755301526066.001
AFE,1996,711699828167.03
AFE,1995,662419632492.894
AFE,1994,621098773528.955
AFE,1993,596640286506.919
AFE,1992,583711839016.863
AFE,1991,581615642052.174
AFE,1990,561920280331.289
AFE,1989,0
AFE,1988,0
AFE,1987,0
AFE,1986,0
AFE,1985,0
AFE,1984,0
AFE,1983,0
AFE,1982,0
AFE,1981,0
AFE,1980,0
AFE,1979,0
AFE,1978,0
AFE,1977,0
AFE,1976,0
AFE,1975,0
AFE,1974,0
AFE,1973,0
AFE,1972,0
AFE,1971,0
AFE,1970,0
AFE,1969,0
AFE,1968,0
AFE,1967,0
AFE,1966,0
AFE,1965,0
AFE,1964,0
AFE,1963,0
AFE,1962,0
AFE,1961,0
AFE,1960,0
AFW,2021,2107258645948.11
AFW,2020,1946025265851.92
AFW,2019,1937544648225.54
AFW,2018,1841595260137.81
AFW,2017,1744086797034.32
AFW,2016,1678673573433.69
AFW,2015,1662297007354.54
AFW,2014,1645121615924.79
AFW,2013,1526772041499.3
AFW,2012,1396676545559.78
AFW,2011,1324190379112.37
AFW,2010,1238352781749.12
AFW,2009,1145424303318.19
AFW,2008,1072886215179.12
AFW,2007,991036479039.815
AFW,2006,915359210537.902
AFW,2005,842972201142.451
AFW,2004,772217475563.498
AFW,2003,696588119784.712
AFW,2002,647416465795.998
AFW,2001,582332978775.732
AFW,2000,541135075847.85
AFW,1999,510683005998.681
AFW,1998,495947196003.563
AFW,1997,473398888966.229
AFW,1996,446091574415.756
AFW,1995,418478404527.973
AFW,1994,401441488488.924
AFW,1993,393736682679.601
AFW,1992,388855999056.793
AFW,1991,370718366510.069
AFW,1990,354292026911.973
AFW,1989,0
AFW,1988,0
AFW,1987,0
AFW,1986,0
AFW,1985,0
AFW,1984,0
AFW,1983,0
AFW,1982,0
AFW,1981,0
AFW,1980,0
AFW,1979,0
AFW,1978,0
AFW,1977,0
AFW,1976,0
AFW,1975,0
AFW,1974,0
AFW,1973,0
AFW,1972,0
AFW,1971,0
AFW,1970,0
AFW,1969,0
