country,year,value
AFE,2021,694665117
AFE,2020,677243299
AFE,2019,660046272
AFE,2018,643090131
AFE,2017,626392880
AFE,2016,609978946
AFE,2015,593871847
AFE,2014,578075373
AFE,2013,562601578
AFE,2012,547482863
AFE,2011,532760424
AFE,2010,518468229
AFE,2009,504604672
AFE,2008,491173160
AFE,2007,478166911
AFE,2006,465581372
AFE,2005,453404076
AFE,2004,441630149
AFE,2003,430246635
AFE,2002,419223717
AFE,2001,408522129
AFE,2000,398113044
AFE,1999,387977990
AFE,1998,378098393
AFE,1997,368440591
AFE,1996,358953595
AFE,1995,349605660
AFE,1994,340379934
AFE,1993,331265579
AFE,1992,322270073
AFE,1991,313394693
AFE,1990,304648010
AFE,1989,296024639
AFE,1988,287524258
AFE,1987,279184536
AFE,1986,271050065
AFE,1985,263161451
AFE,1984,255530063
AFE,1983,248146290
AFE,1982,240999134
AFE,1981,234058404
AFE,1980,227305945
AFE,1979,220740384
AFE,1978,214368393
AFE,1977,208193045
AFE,1976,202205766
AFE,1975,196409937
AFE,1974,190800796
AFE,1973,185376550
AFE,1972,180141148
AFE,1971,175100167
AFE,1970,170257189
AFE,1969,165611760
AFE,1968,161156430
AFE,1967,156876454
AFE,1966,152752671
AFE,1965,148769974
AFE,1964,144920186
AFE,1963,141202036
AFE,1962,137614644
AFE,1961,134159786
AFE,1960,130836765
AFW,2021,470898870
AFW,2020,458803476
AFW,2019,446911598
AFW,2018,435229381
AFW,2017,423769930
AFW,2016,412551299
AFW,2015,401586651
AFW,2014,390882979
AFW,2013,380437896
AFW,2012,370243017
AFW,2011,360285439
AFW,2010,350556886
AFW,2009,341050537
AFW,2008,331772330
AFW,2007,322741656
AFW,2006,313985474
AFW,2005,305520588
AFW,2004,297353098
AFW,2003,289469530
AFW,2002,281842480
AFW,2001,274433894
AFW,2000,267214544
AFW,1999,260170348
AFW,1998,253302310
AFW,1997,246613750
AFW,1996,240114179
AFW,1995,233807627
AFW,1994,227692136
AFW,1993,221754806
AFW,1992,215976366
AFW,1991,210332267
AFW,1990,204803865
AFW,1989,199382783
AFW,1988,194070079
AFW,1987,188868567
AFW,1986,183785612
AFW,1985,178826553
AFW,1984,173991851
AFW,1983,169279422
AFW,1982,164689764
AFW,1981,160223588
AFW,1980,155882270
AFW,1979,151663853
AFW,1978,147571063
AFW,1977,143615715
AFW,1976,139813171
AFW,1975,136173544
AFW,1974,132699537
AFW,1973,129384954
AFW,1972,126218502
AFW,1971,123184308
AFW,1970,120269044
AFW,1969,117468741
AFW,1968,114781116
AFW,1967,112195950
AFW,1966,109701811
AFW,1965,107289875
AFW,1964,104953470
AFW,1963,102691339
AFW,1962,100506960
AFW,1961,98407221
AFW,1960,96396419
ARB,2021,444517783
ARB,2020,436080728
ARB,2019,427870273
ARB,2018,419851989
ARB,2017,411942825
ARB,2016,404042892
ARB,2015,396028301
ARB,2014,387899835
ARB,2013,379696477
ARB,2012,371437642
ARB,2011,363156846
ARB,2010,354890097
ARB,2009,346629179
ARB,2008,338395936
ARB,2007,330290752
ARB,2006,322452764
ARB,2005,314965776
ARB,2004,307862846
ARB,2003,301113869
ARB,2002,294665202
ARB,2001,288432153
ARB,2000,282344141
ARB,1999,276393809
ARB,1998,270575777
ARB,1997,264822167
ARB,1996,259000937
ARB,1995,253107302
ARB,1994,245449429
ARB,1993,239243294
ARB,1992,232956364
ARB,1991,228731671
ARB,1990,222653371
ARB,1989,214753965
ARB,1988,208889669
ARB,1987,203084958
ARB,1986,197338140
ARB,1985,191650328
ARB,1984,186035280
ARB,1983,180505967
ARB,1982,175061794
ARB,1981,169698978
ARB,1980,164420771
ARB,1979,159218539
ARB,1978,154111160
ARB,1977,149161836
ARB,1976,144453278
ARB,1975,140040580
ARB,1974,135952270
ARB,1973,132161302
ARB,1972,128598743
ARB,1971,125164720
ARB,1970,121785630
ARB,1969,118437193
ARB,1968,115136161
ARB,1967,111899335
ARB,1966,108758634
ARB,1965,105736428
ARB,1964,102832792
ARB,1963,100034191
ARB,1962,97334438
ARB,1961,94724540
ARB,1960,92197715
CSS,2021,7481631
CSS,2020,7442291
CSS,2019,7401389
CSS,2018,7358929
CSS,2017,7314956
CSS,2016,7269385
CSS,2015,7222197
CSS,2014,7173443
CSS,2013,7123315
CSS,2012,7072640
CSS,2011,7022367
CSS,2010,6973193
CSS,2009,6925446
CSS,2008,6878973
CSS,2007,6833394
CSS,2006,6788122
CSS,2005,6742657
CSS,2004,6696985
CSS,2003,6650981
CSS,2002,6604966
CSS,2001,6559097
CSS,2000,6513486
CSS,1999,6468461
CSS,1998,6423851
CSS,1997,6378551
CSS,1996,6331277
CSS,1995,6281204
CSS,1994,6227332
CSS,1993,6170324
CSS,1992,6112784
CSS,1991,6058334
CSS,1990,6009262
CSS,1989,5967028
CSS,1988,5930153
CSS,1987,5894820
CSS,1986,5855445
CSS,1985,5808206
CSS,1984,5751508
CSS,1983,5687113
CSS,1982,5617902
CSS,1981,5548521
CSS,1980,5482191
CSS,1979,5419911
CSS,1978,5360562
CSS,1977,5303289
CSS,1976,5246547
CSS,1975,5189174
CSS,1974,5130797
CSS,1973,5071912
CSS,1972,5012600
CSS,1971,4953088
CSS,1970,4893444
CSS,1969,4833839
CSS,1968,4773890
CSS,1967,4712556
CSS,1966,4648353
CSS,1965,4580382
CSS,1964,4508189
CSS,1963,4432240
CSS,1962,4353623
CSS,1961,4274052
CSS,1960,4194711
CEB,2021,101669618
CEB,2020,102172351
CEB,2019,102398494
CEB,2018,102538451
CEB,2017,102740078
CEB,2016,102994278
CEB,2015,103257886
CEB,2014,103496179
CEB,2013,103713726
CEB,2012,103935318
CEB,2011,104174038
CEB,2010,104421447
CEB,2009,104800475
CEB,2008,105001883
CEB,2007,105378748
CEB,2006,105772481
CEB,2005,106041911
CEB,2004,106331716
CEB,2003,106624167
CEB,2002,106959751
CEB,2001,107660041
CEB,2000,108447824
CEB,1999,109060951
CEB,1998,109238340
CEB,1997,109422013
CEB,1996,109626194
CEB,1995,109864246
CEB,1994,110021594
CEB,1993,110041924
CEB,1992,110111454
CEB,1991,110469467
CEB,1990,110743128
CEB,1989,110801640
CEB,1988,110686740
CEB,1987,110296425
CEB,1986,109824166
CEB,1985,109338285
CEB,1984,108838073
CEB,1983,108297837
CEB,1982,107730380
CEB,1981,107129392
CEB,1980,106541316
CEB,1979,105948616
CEB,1978,105329397
CEB,1977,104616884
CEB,1976,103776068
CEB,1975,102860571
CEB,1974,101939916
CEB,1973,101112680
CEB,1972,100357161
CEB,1971,99635258
CEB,1970,99134548
CEB,1969,98606630
CEB,1968,97884022
CEB,1967,97043270
CEB,1966,96146336
CEB,1965,95440988
CEB,1964,94715795
CEB,1963,93840016
CEB,1962,93009498
CEB,1961,92232738
CEB,1960,91401764
EAR,2021,3373866849
EAR,2020,3332103561
EAR,2019,3290291029
EAR,2018,3248413593
EAR,2017,3206485623
EAR,2016,3164439749
EAR,2015,3122156833
EAR,2014,3079685581
